PORT
43614
43618
43622
43626
43630
43634
43638
43642
43646
43650
43654
43658
43662
43666
43670
43674
43678
43686
43690
43694
43698
43702
43706
43710
43714
43718
43722
43726
43730
43734
43738
43742
43746
43750
43754
43758
43762
43766
43770
43774
43778
43782
43786
43790
43794
43798
43802
43806
43810
43814
43818
43822
43826
43830
43834
43838
43842
43846
43852
43856
43860
43864
43868
43872
43876
43880
43888
43892
43896
43900
43904
43908
43912
43916
43920
43924
43928
43932
43936
43940
43944
43948
43952
43956
43960
43964
43968
43972
43976
43980
43984
43988
43992
43996
44000
44004
44008
44012
44016
44020
44024
44028
44032
44036
44040
44044
44048
44052
44056
44060
44064
44068
44072
44076
44084
44088
44092
44096
44100
44104
44108
44112
44116
44120
44124
44128
44132
44136
44140
44144
44148
44152
44156
44160
44164
44168
44172
44176
44180
44184
44188
44192
44196
44200
44204
44208
44212
44216
44220
44224
44228
44232
44236
44240
44244
44248
44252
44256
44260
44264
44268
44272
44276
44284
44288
44292
44296
44300
44304
44308
44312
44316
44320
44324
44328
44332
44336
44340
44344
44348
44352
44356
44360
10827
44368
44372
44376
44380
44384
44388
44392
44396
44400
44404
44408
44412
44416
44420
44424
44428
44432
44436
44440
44444
44448
44452
44456
44460
44464
44468
44472
44480
44484
44488
44492
44496
44500
44504
44508
44512
44516
44520
44524
44528
44532
44536
44540
44544
44548
44552
44556
44560
44564
44568
44572
44576
44580
44584
44588
44592
44596
44600
44604
44608
44612
44616
44620
44624
44628
44632
44636
44640
44644
44648
61970
61971
44652
61972
44656
44660
44664
44668
44672
44680
44684
44688
44692
44696
44700
44704
44708
44712
44716
44720
44724
44728
44732
44736
44740
44744
44748
44752
44756
44760
44764
44768
44772
44776
44780
44784
44788
44792
44796
44800
44804
44808
44812
44816
44820
44824
44828
44832
44836
44840
44844
44848
44852
44856
44860
44864
44868
44876
44880
44884
44888
44892
44896
44900
44904
44908
44912
44916
44920
44924
44928
44932
44936
44940
44944
44948
44952
44956
44960
44964
44968
44972
44976
44980
44984
44988
44992
44996
45000
45004
45008
45012
45016
45020
45024
45028
45032
45036
45040
45044
45048
45054
45064
45068
45072
45076
45084
45088
45092
45096
45100
45104
45108
45112
45116
45120
45124
45128
45132
45136
45140
45144
45148
45152
45156
45160
45164
45168
45172
45176
45180
45184
45188
45192
45196
45200
45204
45208
45212
45216
45220
45224
45228
45232
45236
45244
45248
45252
45256
45260
45264
45268
45272
45276
45284
45288
45292
45296
45300
45304
45308
62281
45312
45316
45320
45324
45328
45332
45336
45340
45344
45348
45352
45356
45360
45364
45368
45372
45376
45380
45384
45388
45392
45396
45400
45404
45408
45412
45416
45420
45424
45428
45432
45436
45440
45444
45448
45452
45456
45460
62364
45464
45468
62365
45472
45476
62367
